"","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7","Comp.8","Comp.9"
"Italy",-0.397094802394338,0.272790990799967,0.198467135573583,-0.862331390497625,-0.582478742769052,0.742496226641153,-0.896101337748103,-0.833757780689859,1.16953258791211
"Greece",-0.751784764909038,1.45005223424865,0.0794811276789571,0.457869268064163,-0.315962476017897,1.36065859641887,-0.792595529798777,-1.23388131187466,0.299263581781265
"South Africa",-1.20485959235852,0.0132916023859722,3.11256752920899,-1.05839838698403,-0.588461041568766,0.527310187692325,0.22231896132456,1.59188705908236,1.221910247573
"Hungary",-1.11411571189108,1.1320416575132,-0.785921849366724,0.629288153753886,-0.930402791195695,0.715126763073461,0.678746552133581,-0.18732193490131,-2.07688165597407
"Bulgaria",-1.25094926714247,1.33703405250914,-0.0416773680215258,1.20743790301622,0.147288723404912,0.562446657442574,-1.24189491657695,-0.228420553728499,-1.38306717239686
"Mexico",-1.34408003230129,-0.146760366832446,0.986433686519227,-0.510593211362982,1.12009743511393,-0.518801339632124,0.28140451519086,-0.927670262827976,-1.1405432362323
"Argentina",-1.11285131914656,0.433879048049571,0.591228848740632,-2.01141539628785,-0.518493157598931,-1.00988608813113,-0.245576903259106,-0.103934587568093,-0.204307530247901
"Turkey",-1.41308855515352,-0.663491269492866,0.343475819540725,-1.42297791843339,1.32995356413767,1.1632877059554,1.04259869867887,-1.48049196955706,1.132182788112
"Chile",-1.30454995854062,0.539497273278026,-0.302779579935008,-0.705031988331255,-0.0716220934583547,0.807348282097636,-1.13612318660973,-0.108838262707253,1.1208280702375
"Serbia",-1.48094379033659,1.48896276348406,-1.93539594127674,0.268086961902688,-0.906360813418342,-0.00269294794053078,-0.909917783249859,1.89107219309114,0.102578334405845
"India",-1.78906835215502,-1.78705239601605,0.456302015835631,-0.103691775556091,0.730322424840787,-0.0306192658616483,0.911988849009235,0.62976002638067,0.863315287963612
"Malaysia",-1.61718749193268,-0.933178044431428,0.863438771557441,0.533832334805097,-1.25099976532023,-2.62278183830854,-0.92280330526245,-0.0349479710503448,0.315546626489022
"Indonesia",-1.70877978272777,-0.967151199183331,-0.759247401758734,-0.0918469480519815,-0.423787447656194,-1.64225929630358,1.16757501347081,-2.2619657262277,-0.569028335023817
