"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8","Comp. 9"
"QualityLife",0.92744442831075,0.947167475010912,0.950925775203108,0.954955644187887,0.973448193808932,0.974126197397876,0.992000258330133,0.999999983310649,1
"PurchPower",0.581614130609206,0.805111799827637,0.898981129706436,0.90882643215648,0.916314374873157,0.929331169163504,0.947161966568744,0.999999996845226,1
"Safety",0.244141363635164,0.281884728665812,0.689410101306798,0.805880746020363,0.9180866846085,0.992635884646108,0.994601268997786,0.999999998585472,0.999999999999999
"HealthCare",0.352484365368732,0.487543341780444,0.488555692877494,0.750931006753574,0.873552774343671,0.994728001916715,0.997143917342924,0.999999999582246,1
"CostLiving",0.683067498731363,0.709156833902876,0.70991660183699,0.759770675537463,0.897692704577068,0.919127992161989,0.961682818351888,0.999999999289172,1
"PropPriceIncRt",0.0458747508822308,0.0503712939838824,0.793808555304304,0.917806390955417,0.971674445986144,0.975083370778488,0.976341875335799,0.999999999541269,1
"TrafficComm",0.199562518414676,0.661559015360808,0.690348383694144,0.851831521159166,0.853433303515629,0.902771805117774,0.999449726789257,0.999999999770054,0.999999999999999
"Pollution",0.685091414443071,0.779250834171233,0.784790855203127,0.785608585519684,0.859276683572222,0.879288843343622,0.999622201540493,0.999999995343197,1
"Climate",0.022637242816959,0.473109768649294,0.486072856342131,0.888060454537939,0.917059148984158,0.996789096571628,0.997878984762191,0.999999998873682,0.999999999999999
