"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8","Comp. 9"
"QualityLife",0.963039162397226,0.140438764948149,0.0613049768958162,0.0634812490801718,0.1359873141916,0.0260385020487697,0.133693907610846,0.0894411816811198,0.000129187272237481
"PurchPower",0.762636302970955,-0.472755401046282,0.306381020754876,0.0992234974693161,-0.0865328996201876,0.114091166574571,-0.133532008916367,0.229865243733109,-5.61673860341522e-05
"Safety",0.494106631846976,-0.194276516930505,-0.638377139817041,0.341277958141988,0.334971548923394,0.273036993899376,0.0443326555901845,-0.0734760477141083,-3.7610201237021e-05
"HealthCare",0.593703937471137,-0.36750370938497,-0.0318174652832365,-0.512225842647636,0.350173910493196,-0.348102323423794,-0.0491519625875649,-0.053442326290325,-2.04390278261318e-05
"CostLiving",0.826478976581596,-0.161521934026043,-0.0275638882256025,-0.223280258196897,-0.371378552207321,0.146407949186241,-0.206288211466139,-0.195747748230432,2.66613541534272e-05
"PropPriceIncRt",-0.214183918355769,-0.067056268175701,-0.862228079640429,-0.35213326405086,-0.232094926766457,-0.0583859982559497,-0.0354754077821613,0.153811976794623,2.1418042739816e-05
"TrafficComm",-0.446724208449325,-0.679703241824057,0.169674300745094,-0.401849645346393,-0.040022273254552,0.222122717438234,0.310930734523757,-0.0234578980472861,1.51639477992091e-05
"Pollution",-0.82770249150469,-0.306854069108041,0.0744313175477494,-0.0285959842732732,0.271418676683344,0.141464340988816,-0.346890988924288,0.0194369185496283,6.82407662625196e-05
"Climate",0.150456780561592,0.671172500801646,0.113855556266862,-0.63402491922306,0.170290030378232,0.28236491918698,-0.0330134546899228,0.046054468963291,-3.35606490046934e-05
