"","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7","Comp.8","Comp.9"
"South Korea",0.562226368572985,-1.58956521982016,-1.2059901121211,-0.839123275415264,0.223449256543071,-0.583727298323357,-0.753515381476421,0.0683307201970284,-0.000227177993053107
"Israel",0.415066540590501,-0.678789887243784,-0.814639527611469,-1.23071593831657,0.213212044715759,0.767910448742537,-1.26864743598131,0.194485506603349,-2.86959912839391e-05
"Poland",-1.05865312204388,0.404354089206574,-0.409182926234303,0.74461587288701,0.550109881965764,0.355418876232232,0.226381694342029,0.214782682809675,3.07445157565946e-05
"United Arab Emirates",0.0243933801059531,-2.69896656336331,0.332035423490757,2.91991169807575,-0.039478015370882,0.286196233493569,-0.186341268529084,-0.474119473031032,-9.51597955650696e-05
"Saudi Arabia",-0.62927570394265,-2.29714177213705,1.41701649533671,3.19462048475171,0.590635411449565,0.453667146857871,-0.87089623696415,0.398196422027503,-6.19345786383452e-05
"Lithuania",-0.683543272534553,1.28021448449634,-1.40001009401505,0.638290682651261,-0.438130432337089,-1.34702611870696,-0.0781362138104202,0.0496613241991701,-5.68366536918968e-05
"Romania",-1.52210695316238,0.989211011025774,-0.375734806964393,1.53027276907997,0.355549439977169,0.747961225573416,0.284501128004564,0.106666386878764,0.000206448257777731
"Singapore",-0.083117219131856,-2.81340016866898,-3.34510231255437,-0.595076018498061,-1.7311184017043,0.563965171591596,0.911441385528813,0.426755254159345,0.000151844232191112
"Italy",-0.768141658968231,0.328850345917114,0.226083152580568,-0.917020207641982,-0.434666095725418,0.459714934364323,-0.492448784114259,-0.305338620453031,0.000198679570484722
"Greece",-1.45425523835188,1.7480422554725,0.0905406523069156,0.486907209803396,-0.23578229686725,0.842448829908011,-0.435567595429171,-0.451871786142563,5.08387372054053e-05
"South Africa",-2.33068486547196,0.0160230659729699,3.54567055945933,-1.12552171855874,-0.439130297200604,0.326482963315817,0.12217446574173,0.58298058476296,0.000207577459292591
"Hungary",-2.15514956643711,1.36467956501825,-0.895280162497745,0.66919743358643,-0.694299240481314,0.442769190135391,0.373002360603423,-0.0686010044020621,-0.000352819544851824
"Bulgaria",-2.41984090336614,1.61179850324677,-0.0474766299535452,1.28401327927976,0.109912018492627,0.348237632639997,-0.682478215246134,-0.0836521329982303,-0.000234954711483402
"Mexico",-2.5999934010033,-0.176920056114178,1.12369252982569,-0.542974890934297,0.835856046245562,-0.321214728424972,0.154644687506265,-0.339731232316451,-0.000193754874926937
"Argentina",-2.15270372042123,0.523042475189055,0.673496302718109,-2.13897880175016,-0.386917804763957,-0.625268789338941,-0.13495577154298,-0.0380629054629489,-3.47076539602142e-05
"Turkey",-2.73348374362939,-0.79984068698848,0.391269294498235,-1.51322278257634,0.992458060309043,0.720247069549848,0.572955802938265,-0.54218549565116,0.000192334606472028
"Chile",-2.52352627966458,0.6503655579627,-0.344910313593694,-0.749744921103562,-0.0534469216562766,0.499867944370093,-0.624351798487383,-0.0398587284667261,0.000190405673072824
"Serbia",-2.86474316230957,1.79494901350494,-2.20469960747356,0.285088962525467,-0.676358272259333,-0.00166733289854948,-0.500041554598476,0.692548109281541,1.74259525826254e-05
"India",-3.46078045782932,-2.15429694682555,0.519794866645514,-0.110267879146021,0.544992243866536,-0.0189578522971732,0.501179700221144,0.230630600547362,0.000146659539356414
"Malaysia",-3.12829348413943,-1.12494889150704,0.983583296901184,0.567687833126982,-0.933539962608997,-1.6238897079711,-0.507122739929282,-0.0127986395033285,5.36048921310206e-05
"Indonesia",-3.30546995125968,-1.16590363000224,-0.864894057558352,-0.0976718559732662,-0.316245077742166,-1.01680129476843,0.641636019862204,-0.82837667048449,-9.66662291967402e-05
