"","Varianta","Varianta.cumulata","Procent","Procent.cumulat"
"Comp.1",3.74191771321215,3.74191771321215,41.576863480135,41.576863480135
"Comp.2",1.45323737814075,5.1951550913529,16.1470819793416,57.7239454594766
"Comp.3",1.29765486012163,6.49280995147453,14.4183873346848,72.1423327941614
"Comp.4",1.13086150535344,7.62367145682797,12.5651278372604,84.7074606314219
"Comp.5",0.556866857441509,8.18053831426948,6.18740952712788,90.8948701585498
"Comp.6",0.383344046828222,8.5638823610977,4.25937829809136,95.1542484566411
"Comp.7",0.302000656921512,8.86588301801921,3.35556285468346,98.5098113113246
"Comp.8",0.134116953121751,8.99999997114096,1.49018836801945,99.999999679344
"Comp.9",2.88590326723054e-08,9,3.20655918581171e-07,100
